id,description_chi,year,month,day
plxh-0001,"河北省廣大人民群眾經過七年艱苦奮戰，取得了治理海河的巨大成績，基本上控制了海河流域的洪澇炎害，扭轉了這個地區長期缺糧的歷史。
因為海河支流新子牙河上新建的穿又工程。",1970,11,25
plxh-0002,"毛主席的光輝哲學思想已成為中國社會主義革命和社會主義建設向前發展的強大推動力。
圖為北京化工三廠甲醛車間的工人在學習《矛盾論》。",1970,11,25
plxh-0003,一九七〇年，河北省遵化縣花生獲得豐收，單位面積產量和總產量均超過歷史最高水平。圖為馬蘭峪公社石各莊大隊社員在翻曬花生。,1970,12,4
plxh-0004,廣州縫紉機廠生產的 '華南牌' 縫紉機，不但能滿足本地的需要，而且還運往外地。,1970,11,25
plxh-0005,"中國廣大量貧下中農用毛主席的哲學思想改天換地，促進了農業生產的發展。
這是吉林省東風縣臥牛三隊的社員與解放軍毛澤東思想宣傳隊的同志一起，在田頭學習毛主席哲學思想。",1970,11,25
plxh-0006,浙江省嘉善農機修造廠工人，以沖天的革命幹勁，提前七個月完成全年電耕犁生產任務。為實現農業機械化作出了新貢獻。,1970,11,25
plxh-0007,狠抓革命，猛促生產，迎接四屆人大召開' —— 浙江省平湖縣全塘公社貧下中農提出了這樣的口號。這是他們正在選揀豐收新棉。,1970,11,25
plxh-0008,"青海省汽車配件廠工人遵照毛主席關於 '打破洋框框，走自己工業發展道路' 的教導，大搞群眾運動，自行設計製造了 '青海湖' 牌載重汽車，結束了青海省只能修配不能製造汽卓的歷史。
圖為工人門正在裝配 '青海湖' 牌載重汽車。",1970,11,25
plxh-0009,寧夏回族自治區銀川棉紡織廠革命工人在提前五十三天完成一九七〇年生產任務後，又以更大的革命幹勁，投入了新的戰鬥。,1970,11,25
plxh-0010,"浙江省繼一九六九年全省糧食跨《綱要》後，今年水稻又獲豐收。
圖為海鹽縣沉落盪公社社員喜收晚稻。",1970,12,4
plxh-0011,陝西省咸陽市鹼灘大隊改鹼灘為良田，一九七〇年在遭受旱災的情況下，糧食畝產達到七百斤以上。圖為豐收場上一角。,1970,12,4
plxh-0012,"西蒙高原的農業生產一九七〇年又獲得豐收。
這是東嘎人民公社社員正在精選良種。",1970,11,25
plxh-0013,"遼寧省提前八十天超額完成了一九七〇年煤灰生產計劃。
圖為阜新礦務局邱煤礦 '八一' 掘進隊正在採煤。",1970,11,25
plxh-0014,"遼寧省鞍鋼廣大工人，深入開展群眾性的技術革新運動，使鋼鐵生產出現持續上升的大好形勢。
這是大批優質鋼材正在外運。",1970,11,25
plxh-0015,上海市郊南匯縣泥城人民公社社員，滿懷豐收的喜悅，向國家交售新棉。,1970,12,4
plxh-0016,中國著名葡萄產地——新疆維吾爾自治區吐魯番幸福大隊社員喜談豐收體會。,1970,12,4
plxh-0017,"一九七〇年，中國農業連續第九年獲得豐收。
圖為安徽省一個農場正在收小麥。",1971,1,21
plxh-0018,提前兩個月完成一九七〇年生產計劃的上海重型機器廠，正在成批製造大型純氧頂吹轉爐。,1971,1,21
plxh-0019,大批工農兵大學生，跨進了新型的社會主義大學。圖為清華大學老工人進修班的學員在上繪圖課。,1971,1,21
plxh-0020,隨著工農業生產的飛躍發展，中國城鄉市場呈現一派繁榮景象。圖為上海人民在選購各種棉布。,1971,1,21
plxh-0021,在毛主席的 '以糧為綱，全面發展' 方針指引下，廣東省一九七〇年甘蔗產量比一九六九年增產三成多。圖為東莞縣中堂公社甘蔗豐收。,1971,1,21
plxh-0022,中國人民執行偉大領袖毛主席關於 '獨立自主、自力更生、艱苦奮鬥、勤儉建國' 的方針，勝利完成了發展國民經濟的第三個五年計劃。石油工業提前兩年完成了第三個五年計劃。至為大慶煉油廠一角。,1971,1,21
plxh-0023,西藏隆子縣列表公社廣大社員以大寨為榜樣，開山造田，興修水利，糧食連年豐收。圖為社員們正在打場。,1971,1,21
plxh-0024,內蒙古包頭市無線電元件廠的工人在設備十分簡陋的條件下，自己製造設備，為國家生產了大批電子產品。這是工人在安裝一台生產電子產品的設備。,1971,1,21
plxh-0025,中國人民解故軍海軍某部 '海上先鋒艇' 指戰員百倍警惕地巡邏在祖國海防線上，以實際行動響應毛主席 '提高警惕，保衛祖國' 的偉大號召。,1971,1,21
plxh-0026,湖南省南部地區修建的歐陽海港區工程，可灌溉農田四萬八千公項。圖為該灌區的一條灌渠。,1971,1,21
plxh-0027,上海第六人民醫院骨科醫生陳中偉（中）和同志們在毛主席光輝哲學思想指引下，正在研究如何進一步接好肢體血管。中國的斷肢再植術有了新發展。,1971,1,21
plxh-0028,在遼寧省長海縣獐子公社 '三八號' 運洋漁船上參加勞動的五名女知識青年，經過兩年的艱苦磨練，掌握了捕魚技術。圖為她們正在捕魚。,1971,2,18
plxh-0029,為了充分發揮女工在生產鬥爭、階級鬥爭和科學實驗三大革命鬥爭中的作用，北京第一機床廠建立了托兒所和幼兒園，以減輕女工的家務負擔、促生產中作出更多的貢獻。,1971,2,18
plxh-0030,糧、棉產量超過《全國農業發展綱要》規定指標的浙江省，一九七〇年又獲得農業新豐收。圖為肖山縣社員在翻曬新棉。,1971,1,21
plxh-0031,中國南部某海島女民兵，苦練殺敵本領，隨時準備殲滅入侵之敵。,1971,2,18
plxh-0032,中國乒乓球隊女子隊隊員們，戒驕戒躁，認真總結經驗，苦練過硬本領，決心為偉大社會主義祖國的體育事業作出新貢獻。,1971,2,18
plxh-0033,天津市第二毛紡織廠細紗車間女工，結合生產鬥爭、階級鬥爭和科學實驗的實踐，學習毛主席的哲學思想，批判劉少奇的修正主義路線。,1971,2,18
plxh-0034,中共中央委員、內蒙古自治區烏審召公社革委會主任寶日勒岱，經常深入實際，調查研究，密切聯繫群眾，受到廣大牧民的愛戴。國為寶日勒岱（右一）在貧下中牧家裡同他們親切交談。,1971,2,18
plxh-0035,大慶油田 “青年女子井組” 是由兩年前參加工作的十二名女青年組成的，她們在革命鬥爭中鍛煉成長，被譽為大慶管好油井的 ”鐵姑娘”。,1971,2,18
plxh-0036,湖南省株洲縣長嶺林場的知識青年，同貧下中農一起開山劈嶺，艱苦創業，建設社會主義新農村。,1974,8,2
